Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,WorkLifeBalance,Attrition,EducationField
41,Female,Sales,Sales Executive,5993,6,Yes,4,1,1,Life Sciences
49,Male,Research & Development,Research Scientist,5130,10,No,2,3,0,Life Sciences
37,Male,Research & Development,Laboratory Technician,2090,0,Yes,3,3,1,Other
33,Female,Research & Development,Research Scientist,2909,8,Yes,3,3,0,Life Sciences
27,Male,Research & Development,Laboratory Technician,3468,2,No,2,3,0,Medical
32,Male,Research & Development,Laboratory Technician,3068,7,No,4,2,0,Life Sciences
59,Female,Research & Development,Laboratory Technician,2670,1,Yes,1,2,0,Medical
30,Male,Research & Development,Laboratory Technician,2693,1,No,3,3,0,Life Sciences
38,Male,Research & Development,Manufacturing Director,9526,9,No,3,3,0,Life Sciences
36,Male,Research & Development,Healthcare Representative,5237,7,No,3,2,0,Medical
35,Male,Research & Development,Laboratory Technician,2426,5,No,2,3,0,Medical
29,Female,Research & Development,Laboratory Technician,4193,9,Yes,3,3,0,Life Sciences
31,Male,Research & Development,Research Scientist,2911,5,No,3,2,0,Life Sciences
34,Male,Research & Development,Laboratory Technician,2661,2,No,4,3,0,Medical
28,Male,Research & Development,Laboratory Technician,2028,4,Yes,3,3,1,Life Sciences
29,Female,Research & Development,Manufacturing Director,9980,10,No,1,3,0,Life Sciences
32,Male,Research & Development,Research Scientist,3298,6,Yes,2,2,0,Life Sciences
22,Male,Research & Development,Laboratory Technician,2935,1,Yes,4,2,0,Medical
53,Female,Sales,Manager,15427,25,No,4,3,0,Life Sciences
38,Male,Research & Development,Research Scientist,3944,3,Yes,4,3,0,Life Sciences
24,Female,Research & Development,Manufacturing Director,4011,4,No,3,2,0,Other
36,Male,Sales,Sales Representative,3407,5,No,1,3,1,Life Sciences
34,Female,Research & Development,Research Director,11994,12,No,2,3,0,Life Sciences
21,Male,Research & Development,Research Scientist,1232,0,No,4,3,0,Life Sciences
34,Male,Research & Development,Research Scientist,2960,4,No,1,3,1,Medical
53,Female,Research & Development,Manager,19094,14,No,3,2,0,Other
32,Female,Research & Development,Research Scientist,3919,10,Yes,1,3,1,Life Sciences
42,Male,Sales,Sales Executive,6825,9,No,2,3,0,Marketing
44,Female,Research & Development,Healthcare Representative,10248,22,No,4,3,0,Medical
46,Female,Sales,Manager,18947,2,No,1,2,0,Marketing
33,Male,Research & Development,Laboratory Technician,2496,1,No,4,3,0,Medical
44,Male,Research & Development,Healthcare Representative,6465,4,Yes,4,4,0,Other
30,Male,Research & Development,Laboratory Technician,2206,10,No,3,3,0,Medical
39,Male,Sales,Sales Representative,2086,1,No,4,4,1,Technical Degree
24,Male,Research & Development,Research Scientist,2293,2,Yes,4,2,1,Medical
43,Female,Research & Development,Research Scientist,2645,5,No,3,2,0,Medical
50,Male,Sales,Sales Representative,2683,3,Yes,3,3,1,Marketing
35,Female,Sales,Sales Representative,2014,2,No,4,3,0,Marketing
36,Female,Research & Development,Research Scientist,3419,1,Yes,1,4,0,Life Sciences
33,Female,Sales,Sales Executive,5376,5,No,1,3,0,Life Sciences
35,Male,Research & Development,Laboratory Technician,1951,1,No,4,3,0,Other
27,Female,Research & Development,Laboratory Technician,2341,1,No,1,3,0,Life Sciences
26,Male,Research & Development,Laboratory Technician,2293,1,No,3,2,1,Life Sciences
27,Male,Sales,Sales Executive,8726,9,No,3,3,0,Life Sciences
30,Female,Research & Development,Laboratory Technician,4011,12,No,4,3,0,Medical
41,Female,Research & Development,Research Director,19545,22,No,3,3,1,Technical Degree
34,Male,Sales,Sales Executive,4568,9,No,3,3,0,Marketing
37,Male,Research & Development,Research Scientist,3022,1,No,2,3,0,Life Sciences
46,Male,Sales,Sales Executive,5772,9,Yes,4,3,0,Marketing
35,Male,Research & Development,Laboratory Technician,2269,1,No,4,3,0,Life Sciences
48,Male,Research & Development,Laboratory Technician,5381,1,Yes,3,3,1,Life Sciences
28,Male,Research & Development,Laboratory Technician,3441,2,Yes,3,2,1,Technical Degree
44,Female,Sales,Sales Executive,5454,4,Yes,1,2,0,Marketing
35,Male,Research & Development,Healthcare Representative,9884,4,Yes,1,3,0,Medical
26,Female,Sales,Sales Executive,4157,2,Yes,4,2,0,Marketing
33,Female,Research & Development,Research Director,13458,15,Yes,4,3,0,Life Sciences
35,Male,Sales,Sales Executive,9069,9,No,1,2,0,Life Sciences
35,Female,Research & Development,Laboratory Technician,4014,2,Yes,1,3,0,Medical
31,Male,Research & Development,Laboratory Technician,5915,7,No,4,2,0,Life Sciences
37,Male,Research & Development,Manufacturing Director,5993,7,No,3,4,0,Life Sciences
32,Male,Research & Development,Manufacturing Director,6162,9,Yes,4,3,0,Medical
38,Female,Research & Development,Laboratory Technician,2406,10,No,4,3,0,Life Sciences
50,Female,Research & Development,Research Director,18740,27,Yes,3,2,0,Medical
59,Female,Sales,Sales Executive,7637,21,No,1,2,0,Life Sciences
36,Female,Research & Development,Healthcare Representative,10096,17,No,3,3,0,Technical Degree
55,Female,Research & Development,Manager,14756,5,Yes,3,3,0,Medical
36,Male,Research & Development,Manufacturing Director,6499,6,No,2,3,0,Life Sciences
45,Male,Research & Development,Research Scientist,9724,1,No,1,3,0,Life Sciences
35,Male,Research & Development,Research Scientist,2194,3,No,1,2,0,Medical
36,Male,Research & Development,Research Scientist,3388,1,Yes,3,2,1,Medical
59,Female,Sales,Sales Executive,5473,4,No,3,2,0,Life Sciences
29,Male,Research & Development,Research Scientist,2703,5,No,2,3,0,Life Sciences
31,Male,Research & Development,Research Scientist,2501,1,No,2,3,0,Medical
32,Male,Research & Development,Research Scientist,6220,10,No,2,3,0,Life Sciences
36,Female,Research & Development,Laboratory Technician,3038,1,No,4,3,0,Life Sciences
31,Female,Research & Development,Manufacturing Director,4424,11,No,4,3,0,Life Sciences
35,Male,Sales,Sales Executive,4312,15,No,1,3,0,Marketing
45,Male,Research & Development,Research Director,13245,0,Yes,1,4,0,Other
37,Male,Research & Development,Research Director,13664,5,No,3,4,0,Medical
46,Male,Human Resources,Human Resources,5021,4,Yes,2,3,0,Medical
30,Male,Research & Development,Laboratory Technician,5126,10,Yes,4,2,0,Life Sciences
35,Male,Research & Development,Research Scientist,2859,6,No,3,3,0,Medical
55,Male,Sales,Sales Executive,10239,1,No,4,3,0,Life Sciences
38,Female,Research & Development,Research Scientist,5329,13,Yes,4,3,0,Medical
34,Male,Research & Development,Manufacturing Director,4325,5,No,2,3,0,Medical
56,Male,Research & Development,Manufacturing Director,7260,6,No,4,2,0,Life Sciences
23,Male,Sales,Sales Representative,2322,0,No,1,3,0,Technical Degree
51,Male,Research & Development,Laboratory Technician,2075,4,No,4,3,0,Life Sciences
30,Male,Research & Development,Healthcare Representative,4152,11,No,4,3,0,Life Sciences
46,Male,Sales,Sales Executive,9619,9,No,4,3,1,Medical
40,Male,Research & Development,Healthcare Representative,13503,22,No,2,2,0,Life Sciences
51,Male,Sales,Sales Executive,5441,10,Yes,4,1,0,Marketing
30,Female,Sales,Sales Executive,5209,11,Yes,2,2,0,Medical
46,Male,Research & Development,Healthcare Representative,10673,10,Yes,1,2,0,Medical
32,Male,Sales,Sales Executive,5010,11,No,3,3,0,Medical
54,Female,Research & Development,Research Director,13549,4,No,3,1,0,Technical Degree
24,Female,Sales,Sales Executive,4999,3,No,3,2,0,Other
28,Male,Sales,Sales Executive,4221,5,No,3,4,0,Medical
58,Male,Sales,Sales Executive,13872,37,No,3,2,0,Medical
44,Male,Research & Development,Laboratory Technician,2042,3,No,2,4,0,Medical
37,Male,Human Resources,Human Resources,2073,3,Yes,1,3,1,Human Resources
32,Male,Research & Development,Research Scientist,2956,1,No,1,3,0,Life Sciences
20,Female,Research & Development,Laboratory Technician,2926,1,Yes,4,3,1,Life Sciences
34,Female,Research & Development,Research Scientist,4809,16,No,3,3,0,Other
37,Male,Research & Development,Healthcare Representative,5163,1,No,4,4,0,Life Sciences
59,Female,Human Resources,Manager,18844,3,No,4,3,0,Human Resources
50,Female,Research & Development,Research Director,18172,8,Yes,2,2,0,Life Sciences
25,Male,Sales,Sales Executive,5744,6,Yes,3,3,1,Marketing
25,Male,Research & Development,Research Scientist,2889,2,No,4,3,0,Medical
22,Female,Research & Development,Laboratory Technician,2871,0,No,4,3,0,Medical
51,Female,Research & Development,Healthcare Representative,7484,13,No,1,2,0,Medical
34,Male,Research & Development,Laboratory Technician,6074,9,Yes,3,3,1,Life Sciences
54,Female,Human Resources,Manager,17328,5,Yes,4,3,0,Human Resources
24,Male,Research & Development,Laboratory Technician,2774,5,No,3,3,0,Life Sciences
